"ADDR_ENG","MEMO_NO","REGISTRY_CODE","DELIVERY_DATE","v_region_id","v_str_region","v_str_mjdist","v_mjdist_code","v_str_dist","v_dist_code","v_str_lot_full","v_str_lot_ext_full","v_str_dd_full","v_str_estate","v_est_id","v_str_phase","v_phase_id","v_str_street_full","v_str_bldg_full","v_bldg_id","v_str_floor_full","v_str_floor_net","v_str_unit_full","v_str_unit_net","unit_id","v_has_carpark","v_has_roof","map_status","unparse_namestr","unit_num"
"HOUSE NO. 4 AND GARDEN","257741","SK","1996-09-2012.00.00","","","","","","","","","","","","","","","HOUSE NO. 4 ","","","","","","","0","0","No Estate Info","AND GARDEN","0"
"GROUND FLOOR OF THE BUILDING","257771","SK","1996-09-2012.00.00","","","","","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF","0"
"BLOCK B, 2ND FLOOR & MAIN ROOF OF THE BUILDING","257772","SK","1996-09-2012.00.00","","","","","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info","BLOCK B,  & MAIN ROOF OF","0"
"GROUND FLOOR OF THE BUILDING","257773","SK","1996-09-2012.00.00","","","","","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF","0"
"2ND FLOOR AND FLAT ROOF OF THE BUILDING, HANG HAU, SAI KUNG, N.T.","257779","SK","1996-09-2012.00.00","30","N.T.","SAI KUNG","SK","HANG HAU","K-HANG H","","","","HANG HAU","E000000358","","",""," THE BUILDING","","2ND FLOOR","2","FLAT ROOF","ROOF","U001428972","0","0","Full Mapped - Est"," AND  OF   ","1"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257786","SK","1996-09-2112.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257789","SK","1996-09-2112.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257924","SK","1996-09-2412.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"FLAT A, GROUND FLOOR OF THE BUILDING","257832","SK","1996-09-2312.00.00","","","","","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","FLAT A","A","","0","0","No Estate Info",",  OF","0"
"FIRST FLOOR INCLUDING THE BALCONY, OF THE BUILDING SAI KUNG, N. T.","257836","SK","1996-09-2312.00.00","20","","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," INCLUDING THE BALCONY OF N.T.  ","0"
"BLOCK C, 2ND FLOOR & ROOF OF KEYON GARDENS, SAI KUNG,","257855","SK","1996-09-2312.00.00","20","","SAI KUNG","SK","","","","","","","","","","","BLOCK C ","","2ND FLOOR","2","","","","0","1","No Estate Info"," & ROOF OF KEYONGARDENS  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257868","SK","1996-09-2312.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"1ST FLOOR AND 2ND FLOOR AND ROOF OF HOUSE NO. B, SAI KUNG, N.T.","257893","SK","1996-09-2312.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","","2ND FLOOR AND ROOF OF ","HOUSE NO. B ","","1ST FLOOR","1","","","","0","0","No Estate Info"," AND","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257894","SK","1996-09-2312.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257895","SK","1996-09-2312.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"GROUND FLOOR AND 1ST FLOOR OF THE BUILDING","257978","SK","1996-09-2512.00.00","","","","","","","","","","","","","","1ST FLOOR OF "," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," AND","0"
"1ST FLOOR OF THE BUILDING","257947","SK","1996-09-2512.00.00","","","","","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF","0"
"2ND FLOOR AND ROOF OF THE BUILDING SAI KUNG, N.T.","257951","SK","1996-09-2512.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF  ","0"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258354","SK","1996-10-0112.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258367","SK","1996-10-0112.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258368","SK","1996-10-0112.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258369","SK","1996-10-0112.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"LOT NO. 123S.D IN D.D. NO. 213     HOUSE NO. 23 OF GREENFIELD VILLA, SAI KUNG, N.T.","258377","SK","1996-10-0112.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","LOT NO. 123","S.D","D.D. NO. 213","GREENFIELD VILLA","E000000241","","","","HOUSE NO. 23 ","","","","","","","0","0","Multi - Est","IN  OF   ","17"
"2ND FLOOR AND MAIN ROOF THEREOVER OF THE BUILDING","257982","SK","1996-09-2512.00.00","","","","","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND MAIN ROOF THEREOVER OF","0"
"BLOCK B, GROUND FLOOR OF THE BUILDING","257983","SK","1996-09-2512.00.00","","","","","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info","BLOCK B,  OF","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258387","SK","1996-10-0212.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258388","SK","1996-10-0212.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258389","SK","1996-10-0212.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258406","SK","1996-10-0212.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"1ST FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258419","SK","1996-10-0212.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258211","SK","1996-09-2712.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"1ST FLOOR AND ROOF, NO. 94A, SAI KUNG ROAD, SAI KUNG, N.T.","258212","SK","1996-09-2712.00.00","30","N.T.","SAI KUNG","SK","SAI KUNG ","K-SK / CWB","","","","94A SAI KUNG ROAD","E000014722","","","","94A SAI KUNG ROAD","B000078089","1ST FLOOR","1","","","","0","1","No Units"," AND ROOF NO.   ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258443","SK","1996-10-0212.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"GROUND FLOOR OF BLOCK A OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258455","SK","1996-10-0312.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","","","BLOCK A ","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF OF THE BUILDING ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF","258260","SK","1996-09-2712.00.00","","","","","","","","","","","","","","","","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF","0"
"GROUND FLOOR","258265","SK","1996-09-2712.00.00","","","","","","","","","","","","","","","","","GROUND FLOOR","G","","","","0","0","No Estate Info","","0"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258279","SK","1996-09-3012.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258280","SK","1996-09-3012.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258281","SK","1996-09-3012.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258308","SK","1996-09-3012.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, WONG CHUK SHAN SAN CHUEN, SAI KUNG, N.T.","258313","SK","1996-09-3012.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON WONG CHUK SHAN SAN CHUEN  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258483","SK","1996-10-0312.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING","258161","SK","1996-09-2612.00.00","","","","","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF","0"
"GROUND FLOOR, NO. 42 TUI MIN HOI VILLAGE, SAI KUNG, N.T.","258314","SK","1996-09-3012.00.00","30","N.T.","SAI KUNG","SK","","","","","","TUI MIN HOI VILLAGE","E000016579","","","NO. 42 TUI MIN HOI VILLAGE","19 TUI MIN HOI VILLAGE (DD215L 633 S.A)","B000088108","GROUND FLOOR","G","","","U002768399","0","0","Full Mapped - Floor"," ","1"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258315","SK","1996-09-3012.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258316","SK","1996-09-3012.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"GROUND FLOOR OF THE BUILDING","258534","SK","1996-10-0412.00.00","","","","","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF","0"
"GROUND FLOOR OF THE BUILDING","258540","SK","1996-10-0412.00.00","","","","","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258337","SK","1996-09-3012.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258342","SK","1996-10-0112.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258351","SK","1996-10-0112.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258494","SK","1996-10-0312.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","258495","SK","1996-10-0312.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF BLOCK A AND CAR PARKING SPACE NOS. 6 AND 12, SILVERSTRAND, CLEARWATER BAY, SAI KUNG, N.T.","257084","SK","1996-09-1012.00.00","30","N.T.","SAI KUNG","SK"," CLEAR WATER BAY","K-SK / CWB","","","","","","","","NOS. 6 AND ","BLOCK A ","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF AND CAR PARKING SPACE 12 SILVERSTRAND CLEARWATER BAY  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257085","SK","1996-09-1012.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257086","SK","1996-09-1012.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257238","SK","1996-09-1212.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257246","SK","1996-09-1212.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"1ST FLOOR AND 2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257247","SK","1996-09-1212.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","","2ND FLOOR AND ROOF OF ERECTED THEREON "," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," AND","0"
"HOUSE NO. B OF BEACH VILLA, SAI KUNG, N.T.","257422","SK","1996-09-1612.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","BEACH VILLA","E000006128","","","","HOUSE B","B000043861","","","","","U001722156","0","0","Full Mapped - Bldg","OF   ","1"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, LEUNG FEI TIN, SAI KUNG, N.T.","257602","SK","1996-09-1812.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON LEUNG FEI TIN  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257614","SK","1996-09-1912.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257617","SK","1996-09-1912.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257445","SK","1996-09-1612.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257446","SK","1996-09-1612.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257454","SK","1996-09-1612.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"1ST FLOOR OF BLOCK B OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257458","SK","1996-09-1612.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","","","BLOCK B ","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF OF THE BUILDING ERECTED THEREON  ","0"
"HOUSE NO. E5 OF HABITAT, SAI KUNG, N.T.","257475","SK","1996-09-1712.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","HABITAT","E01065","","","","HOUSE E5","B000036507","","","","","U001715772","0","0","Full Mapped - Bldg","OF   ","1"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257338","SK","1996-09-1312.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257482","SK","1996-09-1712.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"3RD FLOOR OF NO. 15 SHA TSUI PATH, SAI KUNG, N.T.","257492","SK","1996-09-1712.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","15 SHA TSUI PATH","E000010631","","","","15 SHA TSUI PATH","B000073349","3RD FLOOR","3","","","U001972213","0","0","Full Mapped - Floor"," OF NO.   ","1"
"HOUSE NO. A ON GROUND FLOOR AND 1ST FLOOR AND ROOF OF YEE HONG GARDEN, SAI KUNG, N.T.","257507","SK","1996-09-1712.00.00","30","N.T.","SAI KUNG","YL","","YL","","","","YEE HONG GARDEN","E00929","","","1ST FLOOR AND ROOF OF YEE HONG GARDEN","HOUSE NO. A ","","GROUND FLOOR","G","","","","0","0","Multi - Floor","ON  AND","7"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257667","SK","1996-09-1912.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257668","SK","1996-09-1912.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257669","SK","1996-09-1912.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","257523","SK","1996-09-1712.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","255877","SK","1996-08-2112.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","255891","SK","1996-08-2112.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","256033","SK","1996-08-2212.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","255992","SK","1996-08-2112.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","255993","SK","1996-08-2112.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"GROUND FLOOR OF THE BUILDING","256007","SK","1996-08-2112.00.00","","","","","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","256138","SK","1996-08-2212.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","256211","SK","1996-08-2312.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"4TH FLOOR, NO. 28 YI CHUN STREET, SAI KUNG, N.T.","256217","SK","1996-08-2312.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","","NO. 28 YI CHUN STREET","","","4TH FLOOR","4","","","","0","0","No Estate Info","   ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","256148","SK","1996-08-2212.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING, 153, CHE KENG TUK ROAD, SAI KUNG, N.T.","256169","SK","1996-08-2212.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","CHE KENG TUK ROAD","E000000363","","","153 CHE KENG TUK ROAD"," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Units"," OF","0"
"GROUND FLOOR, NO. 63 TAI PO TSAI, SAI KUNG, N.T.","256196","SK","1996-08-2312.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","TAI PO TSAI","E000007597","","","NO. 63 TAI PO TSAI","","","GROUND FLOOR","G","","","","0","0","Multi - Floor"," ","3"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","256205","SK","1996-08-2312.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","256804","SK","1996-09-0412.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","256254","SK","1996-08-2312.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"GROUND FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","256273","SK","1996-08-2712.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","GROUND FLOOR","G","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","256279","SK","1996-08-2712.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"FLAT A2 ON 2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","256291","SK","1996-08-2712.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","FLAT A2","A2","","0","1","No Estate Info"," ON  AND ROOF OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","256837","SK","1996-09-0512.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
